id_delegacia,nome_departamento,nome_seccional,delegacia,nome_seccional_circ,nome_delegacia_circ
100431,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.RIBEIRAO PRETO,DEL.DEF.MUL. RIBEIRAO PRETO,DEL.SEC.S.BERNARDO DO CAMPO,02º D.P. S.BERNARDO DO CAMPO
100435,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.SERTÃOZINHO,DEL.POL.JABOTICABAL,DEL.SEC.6º SANTO AMARO,11º D.P. SANTO AMARO
100436,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.SERTÃOZINHO,DEL.POL.MONTE ALTO,DEL.SEC.3º OESTE,23º D.P.  PERDIZES
100440,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.RIBEIRAO PRETO,DISE- DEL.SEC.RIBEIRAO PRETO,DEL.SEC.3º OESTE,34º D.P.  MORUMBI
100462,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.S. JOAQUIM DA BARRA,DEL.INV.GER. S.JOAQUIM BARRA,DEL.SEC.3º OESTE,34º D.P.  MORUMBI
100464,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.S. JOAQUIM DA BARRA,01º D.P. SAO JOAQUIM DA BARRA,DEL.SEC.1º CENTRO,01º D.P. SE
100503,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.SAO CARLOS,DEL.POL.DESCALVADO,DEL.SEC.4º NORTE,28º D.P.  FREGUESIA DO O
100504,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.SAO CARLOS,DEL.POL.DOURADO,DEL.SEC.OSASCO,09º D.P. OSASCO
100506,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.SAO CARLOS,DEL.POL.PORTO FERREIRA,DEL.SEC.1º CENTRO,12º D.P. PARI
100511,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.SAO CARLOS,01º D.P. SÃO CARLOS,DEL.SEC.1º CENTRO,03º D.P. CAMPOS ELISEOS
100512,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.SAO CARLOS,02º D.P. SÃO CARLOS,DEL.SEC.3º OESTE,34º D.P.  MORUMBI
100513,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.SAO CARLOS,DEL.POL.STA RITA PASSA QUATRO,DEL.SEC.GUARULHOS,08º D.P. GUARULHOS
100514,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.SAO CARLOS,03º D.P. SÃO CARLOS,DEL.SEC.8º SAO MATEUS,49º D.P.  SAO MATEUS
100907,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.SERTÃOZINHO,DEL.SEC.SERTÃOZINHO PLANTÃO,DEL.SEC.3º OESTE,14º D.P. PINHEIROS
100908,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.ARARAQUARA,DEL.SEC.ARARAQUARA PLANTÃO,DEL.SEC.2º SUL,96º D.P. MONÇÕES
100910,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.FRANCA,DEL.SEC.FRANCA PLANTÃO,DEL.SEC.1º CENTRO,04º D.P. CONSOLAÇÃO
100911,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.SAO CARLOS,DEL.SEC.SÃO CARLOS PLANTÃO,DEL.SEC.4º NORTE,09º D.P. - CARANDIRU
100912,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.BEBEDOURO,DEL.POL.PLANTÃO BEBEDOURO,DEL.SEC.GUARULHOS,05º D.P. GUARULHOS
100917,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.SERTÃOZINHO,DEL.POL.PLANTÃO JABOTICABAL,DEL.SEC.1º CENTRO,01º D.P. SE
100919,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.RIBEIRAO PRETO,CENTRAL POL. JUD. RIB. PRETO,DEL.SEC.4º NORTE,09º D.P. - CARANDIRU
110001,DEINTER 5 - SAO JOSE DO RIO PRETO,DEL.SEC.S.JOSE DO RIO PRETO,DEL.INV.GER. S.JOSE RIO PRETO,DEL.SEC.2º SUL,27º D.P.  IBIRAPUERA
110103,DEINTER 5 - SAO JOSE DO RIO PRETO,DEL.SEC.CATANDUVA,DEL.POL.CATIGUA,DEL.SEC.2º SUL,96º D.P. MONÇÕES
110106,DEINTER 5 - SAO JOSE DO RIO PRETO,DEL.SEC.NOVO HORIZONTE,DEL.POL.ITAJOBI,DEL.SEC.1º CENTRO,12º D.P. PARI
